Keyword,PMID,Title,Journal,Abstract,Publication Date
"""Bioinformatics Tools"" AND ""Comparative genomics""",12369183,Transcriptome analysis and related databases of Lactococcus lactis.,Antonie van Leeuwenhoek,"Several complete genome sequences of Lactococcus lactis and their annotations will become available in the near future, next to the already published genome sequence of L. lactis ssp. lactis IL 1403. This will allow intraspecies comparative genomics studies as well as functional genomics studies aimed at a better understanding of physiological processes and regulatory networks operating in lactococci. This paper describes the initial set-up of a DNA-microarray facility in our group, to enable transcriptome analysis of various Gram-positive bacteria, including a ssp. lactis and a ssp. cremoris strain of Lactococcus lactis. Moreover a global description will be given of the hardware and software requirements for such a set-up, highlighting the crucial integration of relevant bioinformatics tools and methods. This includes the development of MolGenIS, an information system for transcriptome data storage and retrieval, and LactococCye, a metabolic pathway/genome database of Lactococcus lactis.",2002 Aug
"""Bioinformatics Tools"" AND ""Comparative genomics""",12369206,Comparative genomics of phages and prophages in lactic acid bacteria.,Antonie van Leeuwenhoek,"Comparative phage genomics has become possible due to the availability of more than 100 complete phage genome sequences and the development of powerful bioinformatics tools. This technology, profiting from classical molecular-biology knowledge, has opened avenues of research for topics, which were difficult to address in the past. Now, it is possible to retrace part of the evolutionary history of phage modules by comparative genomics. The diagnosis of relatedness is hereby not uniquely based on sequence similarity alone, but includes topological considerations of genome organization. Detailed transcription maps have allowed in silico predictions of genome organization to be verified and refined. This comparative knowledge is providing the basis for a new taxonomic classification concept for bacteriophages infecting low G + C-content Gram-positive bacteria based on the genetic organization of the structural gene module. An Sfi21-like and an Sfi11-like genus of Siphoviridae is proposed. The gene maps of many phages show remarkable synteny in their structural genes defining a lambda super-group within Siphoviridae. A hierarchy of relatedness within the lambda super-group suggests elements of vertical evolution in Siphoviridae. Tailed phages are the result of both vertical and horizontal evolution and are thus fascinating objects for the study of molecular evolution. Prophage sequences integrated into the genomes of their bacterial host present theoretical challenges for evolutionary biologists. Prophages represent up to 10% of the genome in some LAB. In pathogenic streptococci prophages confer genes of selective value for the lysogenic cell. The lysogenic conversion genes are located between the lysin gene and the right phage attachment site. Non-attributed genes were found at the same genome position of prophages from lactic streptococci. These genes belong to the few prophage genes transcribed in the lysogen. Prophages from dairy bacteria might therefore also contribute to the evolutionary fitness of non-pathogenic LAB.",2002 Aug
"""Bioinformatics Tools"" AND ""Comparative genomics""",15652801,"Survey of current protein family databases and their application in comparative, structural and functional genomics.","Journal of chromatography. B, Analytical technologies in the biomedical and life sciences","The last two decades have witnessed significant expansions in the databases storing information on the sequences and structures of proteins. This has led to the creation of many excellent protein family resources, which classify proteins according to their evolutionary relationship. These have allowed extensive insights into evolution and particularly how protein function mutates and evolves over time. Such analyses have greatly assisted the inheritance of functional annotations between experimentally characterised and uncharacterised genes. Moreover, the development of bioinformatics tools acts as a companion to the new technologies emerging in biology, such as transcriptomics and proteomics. The latter enable researchers to analyse gene expression profiles and interactions on a genome-wide scale, generating vast datasets of proteins, many of which include experimentally uncharacterised proteins. Protein family/function databases can be used to help interpret this data and allow us to benefit more fully from these technologies. This review aims to summarise the most popular sequence- and structure-based protein family databases. We also cover their application to comparative genomics and the functional annotation of the genomes.",2005 Feb 5
"""Bioinformatics Tools"" AND ""Comparative genomics""",16026603,Bioinformatics approaches for cross-species liver cancer analysis based on microarray gene expression profiling.,BMC bioinformatics,"BACKGROUND: The completion of the sequencing of human, mouse and rat genomes and knowledge of cross-species gene homologies enables studies of differential gene expression in animal models. These types of studies have the potential to greatly enhance our understanding of diseases such as liver cancer in humans. Genes co-expressed across multiple species are most likely to have conserved functions. We have used various bioinformatics approaches to examine microarray expression profiles from liver neoplasms that arise in albumin-SV40 transgenic rats to elucidate genes, chromosome aberrations and pathways that might be associated with human liver cancer. RESULTS: In this study, we first identified 2223 differentially expressed genes by comparing gene expression profiles for two control, two adenoma and two carcinoma samples using an F-test. These genes were subsequently mapped to the rat chromosomes using a novel visualization tool, the Chromosome Plot. Using the same plot, we further mapped the significant genes to orthologous chromosomal locations in human and mouse. Many genes expressed in rat 1q that are amplified in rat liver cancer map to the human chromosomes 10, 11 and 19 and to the mouse chromosomes 7, 17 and 19, which have been implicated in studies of human and mouse liver cancer. Using Comparative Genomics Microarray Analysis (CGMA), we identified regions of potential aberrations in human. Lastly, a pathway analysis was conducted to predict altered human pathways based on statistical analysis and extrapolation from the rat data. All of the identified pathways have been known to be important in the etiology of human liver cancer, including cell cycle control, cell growth and differentiation, apoptosis, transcriptional regulation, and protein metabolism. CONCLUSION: The study demonstrates that the hepatic gene expression profiles from the albumin-SV40 transgenic rat model revealed genes, pathways and chromosome alterations consistent with experimental and clinical research in human liver cancer. The bioinformatics tools presented in this paper are essential for cross species extrapolation and mapping of microarray data, its analysis and interpretation.",2005 Jul 15
"""Bioinformatics Tools"" AND ""Comparative genomics""",16226337,Bioinformatics toolbox for narrowing rodent quantitative trait loci.,Trends in genetics : TIG,"Quantitative trait locus (QTL) analysis is a powerful method for localizing disease genes, but identifying the causal gene remains difficult. Rodent models of disease facilitate QTL gene identification, and causal genes underlying rodent QTL are often associated with the corresponding human diseases. Recently developed bioinformatics methods, including comparative genomics, combined cross analysis, interval-specific and genome-wide haplotype analysis, followed by sequence and expression analysis, each facilitated by public databases, provide new tools for narrowing rodent QTLs. Here we discuss each tool, illustrate its application and generate a bioinformatics strategy for narrowing QTLs. Combining these bioinformatics tools with classical experimental methods should accelerate QTL gene identification.",2005 Dec
"""Bioinformatics Tools"" AND ""Comparative genomics""",16980179,In search of new targets for plasma high-density lipoprotein cholesterol levels: promise of human-mouse comparative genomics.,Trends in cardiovascular medicine,"Many lines of evidence suggest that raising plasma high-density lipoprotein cholesterol (HDL-C) levels may inhibit, perhaps even reverse, atherosclerosis. Quantitative trait locus (QTL) analysis has been performed in both humans and mice. So far, approximately 40 high-density lipoprotein (HDL)-regulating QTLs have been identified in each species. To compare human and mouse HDL-C QTLs, we generate human-mouse comparative chromosome maps based on homologous genes in humans and mice. The comparative maps reveal that most human and mouse HDL-C QTLs are concordant, which suggests that identifying the underlying QTL genes in mice will facilitate identifying their homologs in humans. The maps also help to narrow QTLs by mouse-human homologous QTL comparison. By using a combination of classic genetic approaches and newer bioinformatics tools (including comparative genomics as highlighted in this study), identifying new drug targets for plasma HDL-C levels holds more promise than ever.",2006 Oct
"""Bioinformatics Tools"" AND ""Comparative genomics""",17071992,Genome resources and comparative analysis tools for cardiovascular research.,Methods in molecular medicine,"Disorders of the cardiovascular system are often caused by the interaction of genetic and environmental factors that jointly contribute to individual susceptibility. Genomic data and bioinformatics tools generated from genome projects, coupled with functional verification, offer novel approaches to study both rare single-gene and complex multigenic cardiovascular diseases. These approaches include gene mapping using genome variation, especially single-nucleotide polymorphisms and comparative genomics within and between species. This chapter illustrates the major genome resources, associated bioinformatics tools, and their potential application in cardiovascular research.",2006
"""Bioinformatics Tools"" AND ""Comparative genomics""",17623898,Genome resources for the DT40 community.,Sub-cellular biochemistry,"The chicken B cell line DT40 is a tool that is uniquely situated to study the function of genes due to its high rate of homologous recombination. As any tool is only as good as the resources behind it, the recent boon and continuing output of available genomic information has only widened the possibilities for the DT40 community. Besides the release of the chicken genome, the public databases are expanding rapidly with a wealth of experimentally produced data including various chicken cell specific EST's, full-length cDNA's, non-coding RNA's and expressed SAGE tags. In addition, many laboratories have also taken it upon themselves to set up a web presence freely sharing and distributing information, program applications and software such as the DT40 website. Of course, the standard bearers in this are the institutes that have led the way in development of bioinformatics tools for sequence information, comparative genomics and proteomics such as The National Center for Biotechnology Information (NCBI), The European Molecular Biology Laboratory (EMBL), The DNA Database of Japan (DDBJ) and The Molecular Biology Server-Swiss Institute of Bioinformatics (ExPASy). These resources for virtual science can not replace the hands in the lab, but they can help at every turn along the path to discovery.",2006
"""Bioinformatics Tools"" AND ""Comparative genomics""",17628132,Comparative genomic and protein sequence analyses of a complex system controlling bacterial chemotaxis.,Methods in enzymology,"Molecular machinery governing bacterial chemotaxis consists of the CheA-CheY two-component system, an array of specialized chemoreceptors, and several auxiliary proteins. It has been studied extensively in Escherichia coli and, to a significantly lesser extent, in several other microbial species. Emerging evidence suggests that homologous signal transduction pathways regulate not only chemotaxis, but several other cellular functions in various bacterial species. The availability of genome sequence data for hundreds of organisms enables productive study of this system using comparative genomics and protein sequence analysis. This chapter describes advances in genomics of the chemotaxis signal transduction system, provides information on relevant bioinformatics tools and resources, and outlines approaches toward developing a computational framework for predicting important biological functions from raw genomic data based on available experimental evidence.",2007
"""Bioinformatics Tools"" AND ""Comparative genomics""",17825976,Remote access to ACNUC nucleotide and protein sequence databases at PBIL.,Biochimie,"The ACNUC biological sequence database system provides powerful and fast query and extraction capabilities to a variety of nucleotide and protein sequence databases. The collection of ACNUC databases served by the Pole Bio-Informatique Lyonnais includes the EMBL, GenBank, RefSeq and UniProt nucleotide and protein sequence databases and a series of other sequence databases that support comparative genomics analyses: HOVERGEN and HOGENOM containing families of homologous protein-coding genes from vertebrate and prokaryotic genomes, respectively; Ensembl and Genome Reviews for analyses of prokaryotic and of selected eukaryotic genomes. This report describes the main features of the ACNUC system and the access to ACNUC databases from any internet-connected computer. Such access was made possible by the definition of a remote ACNUC access protocol and the implementation of Application Programming Interfaces between the C, Python and R languages and this communication protocol. Two retrieval programs for ACNUC databases, Query_win, with a graphical user interface and raa_query, with a command line interface, are also described. Altogether, these bioinformatics tools provide users with either ready-to-use means of querying remote sequence databases through a variety of selection criteria, or a simple way to endow application programs with an extensive access to these databases. Remote access to ACNUC databases is open to all and fully documented (http://pbil.univ-lyon1.fr/databases/acnuc/acnuc.html).",2008 Apr
