Keyword,PMID,Title,Journal,Abstract,Publication Date
"Human AND ""Pathogen Evolution"" AND Bioinformatics",11045923,High-throughput sequencing in the population analysis of bacterial pathogens of humans.,International journal of medical microbiology : IJMM,"High-throughput nucleotide sequence determination technologies present new opportunities for studies of bacterial pathogens by enabling the accumulation of large volumes of biodiversity information from isolate collections. Population studies, which combine these data with epidemiological, phylogenetic, and evolutionary concepts, provide insights into the behaviour of pathogens that are unavailable from other approaches as they address questions of relevance to pathogenesis from the perspective of the infectious organism rather from that of the host. Hypothesis-driven analyses applied to these data permit the determination of microbial population diversity and structure, the identification of the mechanisms of genetic change in bacterial populations, and the generation of models of pathogen evolution. The nucleotide sequence-based population studies performed to date demonstrate a spectrum of nucleotide sequence diversity, population structure, and evolutionary mechanisms among pathogenic bacteria. The rapid development of nucleotide sequence determination and analysis techniques provides the tools necessary for the prosecution of population studies on an increasing number of bacterial pathogens.",2000 May
"Human AND ""Pathogen Evolution"" AND Bioinformatics",12838609,[Role of horizontal gene transfer by bacteriophages in the origin of pathogenic bacteria].,Genetika,"The review considers the involvement of bacteriophages in transferring genes, which determine bacterial pathogenicity, and the increasing role of comparative genomics and genetics of bacteria and bacteriophages in detecting new cases of horizontal gene transfer. Examples of phage participation in this process proved to a different extent are described. Emphasis is placed on the original work carried out in Russia and focused on bacteriophages (temperate transposable phages and giant virulent phi KZ-like phages) of conditional pathogen Pseudomonas aeruginosa. Consideration is given to the possible lines of further research of the role of bacteriophages in the infection process and, in particular, the role of virulent phages, whose products are similar to those of pathogenic bacteria, in modification of clinical signs of infectious diseases and in evolution. An attempt is made to predict the possible direction of pathogen evolution associated with development of new treatment strategies and generation of new specific niches.",2003 May
"Human AND ""Pathogen Evolution"" AND Bioinformatics",15157625,Revisiting the pestilence of Helicobacter pylori: insights into geographical genomics and pathogen evolution.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","Helicobacter pylori causes chronic gastritis and plays important roles in peptic ulcer disease, gastric carcinoma, and mucosa-associated lymphoid tissue (MALT) lymphoma. It is believed that H. pylori infects over 50% of the worlds' population. However, only a small subset of infected people experience H. pylori-associated illnesses. Associations with disease-specific factors remain enigmatic. The contribution of comparative genomics to our understanding of the genome organisation and diversity of H. pylori is exemplified herein. The discovery of the cag pathogenicity island has revolutionised our understanding of the molecular pathogenesis of gastroduodenal ulcers. Another type IV secretion system, the comB gene cluster, provides a novel transformation system. Identification of this cluster has boosted our perception of horizontal gene transfer and gene mosaicism in H. pylori as a result of natural competence. Recent discovery of a third type IV secretion system called tfs3 encoding cluster in the so called plasticity zone of the H. pylori has gained significant attention, although its role is not clear. Study of the evolution of polymorphisms and sequence variation in H. pylori populations on a global basis is contributing to understanding of the history of human population migration and co-evolution of this pathogen with its human host. Possible symbiotic relationships were debated since the discovery of this pathogen. The debate has been further intensified as recent studies have posed the intriguing possibility that H. pylori infection may be advantageous in some humans. This analogy is based on increased incidence of diseases like gastro-oesophageal reflux disease (GERD), Barrett's oesophagus and adenocarcinoma of the oesophagus following H. pylori eradication in some patients.",2004 Jun
"Human AND ""Pathogen Evolution"" AND Bioinformatics",15916705,Comparative genomics of Helicobacter pylori isolates recovered from ulcer disease patients in England.,BMC microbiology,"BACKGROUND: Genomic diversity of H. pylori from many different human populations is largely unknown. We compared genomes of 65 H. pylori strains from Nottingham, England. Molecular analysis was carried out to identify rearrangements within and outside the cag-pathogenicity-island (cag PAI) and DNA sequence divergence in candidate genes. Phylogenetic analysis was carried out based on various high-resolution genotyping techniques. RESULTS: Analyses of virulence genes (cagT, cagE, cagA, vacA, iceA, oipA and babB) revealed that H. pylori strains from England are genetically distinct from strains obtained from other countries. The toxigenic vacA s1m1 genotype was found to be less common and the plasticity region cluster was found to be disrupted in all the isolates. English isolates showed a predominance of iceA1 alleles and a functional proinflammatory oipA gene. The English H. pylori gene pool revealed several Asian/oriental features. This included the predominance of cagA - glr (cagA right junction) motif types III and II (up to 42%), presence of vacA m1c alleles and phylogenetic affinity towards East Asian / Amerindian gene pools based on fluorescent amplified fragment length polymorphism (FAFLP) analysis and glmM sequence analysis. CONCLUSION: Overall, our results demonstrated genetic affinities of H. pylori in England with both European and the Asian gene pools and some distinctive genetic features of virulence genes that may have evolved in this important European population.",2005 May 25
"Human AND ""Pathogen Evolution"" AND Bioinformatics",16497582,Bacterial genomics and pathogen evolution.,Cell,"The availability of hundreds of bacterial genome sequences has altered the study of bacterial pathogenesis, affecting both design of experiments and analysis of results. Comparative genomics and genomic tools have been used to identify virulence factors and genes involved in environmental persistence of pathogens. However, a major stumbling block in the genomics revolution has been the large number of genes with unknown function that have been identified in every organism sequenced to date.",2006 Feb 24
"Human AND ""Pathogen Evolution"" AND Bioinformatics",17320487,genoBASE pylori: a genotype search tool and database of the human gastric pathogen Helicobacter pylori.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases","Helicobacter pylori is the pathogenic bacterium linked to gastric and duodenal ulcers and gastric carcinoma. Genomic diversity of the organism has enabled new insights into its population biology through comparative genomics. genoBASE pylori is an online databank of several virulence-linked and phylogenetic markers of H. pylori strains obtained from different human populations. This knowledgebase is built upon a relational database management system which is connected to visualize the presence of known, pathogenicity markers such as the co-ordinates within the cag pathogenicity island (cagPAI), the cagA gene and motifs surrounding it, the vacA allotypes and the oipA gene frame status, together with genotypic details in the form of DNA profiling traces and candidate gene sequences for individual strains. This flexible search tool allows inter-laboratory comparison of DNA fingerprinting data in the form of fluorescent amplified fragment length polymorphism (FAFLP), enterobacterial repetitive intergenic consensus (ERIC) and repetitive extragenic palindromic (REP) signature profiles. Besides this, the database also displays diversity of strains based on nucleotide sequences of several house keeping genes and two membrane proteins. Being the first of its kind, genoBASE pylori is expected to be a helpful online tool in strengthening the concept of 'geographic genomics' and will be useful to molecular epidemiologists, clinical laboratory scientists and those interested in diagnostic development for H. pylori. The database can be accessed through its website (http://www.cdfd.org.in/amplibase/HP).",2007 Jul
"Human AND ""Pathogen Evolution"" AND Bioinformatics",17943120,Bacterial pathogenomics.,Nature,"Genomes from all of the crucial bacterial pathogens of humans, plants and animals have now been sequenced, as have genomes from many of the important commensal, symbiotic and environmental microorganisms. Analysis of these sequences has revealed the forces that shape pathogen evolution and has brought to light unexpected aspects of pathogen biology. The finding that horizontal gene transfer and genome decay have key roles in the evolution of bacterial pathogens was particularly surprising. It has also become evident that even the definitions for 'pathogen' and 'virulence factor' need to be re-evaluated.",2007 Oct 18
"Human AND ""Pathogen Evolution"" AND Bioinformatics",18707535,RB-finder: an improved distance-based sliding window method to detect recombination breakpoints.,Journal of computational biology : a journal of computational molecular cell biology,"Recombination detection is important before inferring phylogenetic relationships. This will eventually lead to a better understanding of pathogen evolution, more accurate genotyping, and advancements in vaccine development. In this paper, we introduce RB-Finder, a fast and accurate distance-based window method to detect recombination in a multiple sequence alignment. Our method introduces a more informative distance measure and a novel weighting strategy to reduce the window size sensitivity problem and hence improve the accuracy of breakpoint detection. Furthermore, our method is faster than existing phylogeny-based methods since we do not need to construct and compare complex phylogenetic trees. When compared with the current best method Pruned-PDM, our method is a few hundred times more efficient. Experimental evaluation of RB-Finder using synthetic and biological datasets showed that our method is more accurate than existing phylogeny-based methods. We also show how our method has potential use in other related applications such as genotyping.",2008 Sep
"Human AND ""Pathogen Evolution"" AND Bioinformatics",20143945,Host-microbe interaction systems biology: lifecycle transcriptomics and comparative genomics.,Future microbiology,"The use of microarray and comparative genomic technologies for the analysis of host-pathogen interactions has led to a greater understanding of the biological systems involved in infectious disease processes. Transcriptome analysis of intracellular pathogens at single or multiple time points during infection offers insight into the pathogen intracellular lifecycle. Host-pathogen transcriptome analysis in vivo, over time, enables characterization of both the pathogen and the host during the dynamic, multicellular host response. Comparative genomics using hybridization microarray-based comparative whole-genome resequencing or de novo whole-genome sequencing can identify the genetic factors responsible for pathogen evolutionary divergence, emergence, reemergence or the genetic basis for different pathogenic phenotypes. Together, microarray and comparative genomic technologies will continue to advance our understanding of pathogen evolution and assist in combating human infectious disease.",2010 Feb
"Human AND ""Pathogen Evolution"" AND Bioinformatics",21352760,Understanding the dynamics of rapidly evolving pathogens through modeling the tempo of antigenic change: influenza as a case study.,Epidemics,"Rapidly evolving pathogens present a major conceptual and mathematical challenge to our understanding of disease dynamics. For these pathogens, the simulation of disease dynamics requires the use of computational models that incorporate pathogen evolution. Currently, these models are limited by two factors. First, their computational complexity hinders their numerical analysis and the ease with which parameters can be statistically estimated. Second, their formulations are frequently not sufficiently general to allow for alternative immunological hypotheses to be considered. Here, we introduce a new modeling framework for rapidly evolving pathogens that lessens both of these limitations. At its core, the proposed framework differs from previous multi-strain models by modeling the tempo of antigenic change instead of the pathogen's genetic change. This shift in focus results in a new model of reduced computational complexity that can accommodate different immunological hypotheses. We demonstrate the utility of this antigenic tempo model in an application to influenza. We show that, under different parameterizations, the model can reproduce the qualitative findings of a diverse set of previously published flu models, despite being less computationally intensive. These advantages of the antigenic tempo model make it a useful alternative to address several outstanding questions for rapidly evolving pathogens.",2009 Jun
